instance,algorithm,run_id,cost,time
ESC63.sop,GA,1,109,5.540599822998047
ESC63.sop,ACO,1,63,22.732261180877686
ESC63.sop,GA,2,89,5.678832530975342
ESC63.sop,ACO,2,63,35.32392764091492
ESC63.sop,GA,3,99,5.523040294647217
ESC63.sop,ACO,3,62,28.407647371292114
ESC63.sop,GA,4,105,5.616341829299927
ESC63.sop,ACO,4,64,20.83454203605652
ESC63.sop,GA,5,95,5.586206436157227
ESC63.sop,ACO,5,62,20.51010823249817
ESC63.sop,GA,6,91,5.69468355178833
ESC63.sop,ACO,6,62,24.091201782226562
ESC63.sop,GA,7,91,5.629650592803955
ESC63.sop,ACO,7,63,36.6279354095459
ESC63.sop,GA,8,100,5.587786674499512
ESC63.sop,ACO,8,63,24.96028447151184
ESC63.sop,GA,9,106,5.567677736282349
ESC63.sop,ACO,9,62,23.161734342575073
ESC78.sop,GA,0,20855,7.212007999420166
ESC78.sop,ACO,0,20210,31.45111322402954
ESC78.sop,GA,1,20315,6.996928453445435
ESC78.sop,ACO,1,20635,48.75534129142761
ESC78.sop,GA,2,20375,7.250384092330933
ESC78.sop,ACO,2,20515,49.8335816860199
ESC78.sop,GA,3,20245,6.953797340393066
ESC78.sop,ACO,3,20690,49.42340111732483
ESC78.sop,GA,4,20630,7.483438491821289
ESC78.sop,ACO,4,20625,34.0598840713501
ESC78.sop,GA,5,19740,7.245765686035156
ESC78.sop,ACO,5,20035,56.31046938896179
ESC78.sop,GA,6,20270,7.295172452926636
ESC78.sop,ACO,6,20340,55.96040868759155
ESC78.sop,GA,7,20050,7.3613574504852295
ESC78.sop,ACO,7,19580,54.682316303253174
ESC78.sop,GA,8,20635,7.4069297313690186
ESC78.sop,ACO,8,19710,31.588252544403076
ESC78.sop,GA,9,20505,7.338774919509888
ESC78.sop,ACO,9,19820,62.34242486953735
